,FIPS_ST,FIPS_CTY,GRNDTOT,MURDER,RAPE,ROBBERY,AGASSLT,State_CTY,Population,Crime_Rates,Population 25 years and over!!Less than 9th grade,"Population 25 years and over!!9th to 12th grade, no diploma",Population 25 years and over!!High school graduate (includes equivalency),"Population 25 years and over!!Some college, no degree",Population 25 years and over!!Associate's degree,Population 25 years and over!!Bachelor's degree,Population 25 years and over!!Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher
657,Texas,201,5744,223,270,1913,3338,Texas201,155265,3699.481531575049,10.8,8.1,23.6,20.0,6.5,20.0,11.0,81.1,31.0
658,Texas,203,85,1,13,7,64,Texas203,4589928,1.8518809009640238,5.8,10.9,32.8,27.8,5.8,11.9,5.0,83.3,16.9
659,Texas,209,193,6,18,27,142,Texas209,66534,290.0772537349325,6.0,6.3,21.5,24.0,6.0,21.4,14.7,87.6,36.1
660,Texas,213,91,5,20,9,57,Texas213,204470,44.50530640191715,7.3,9.4,33.5,26.1,5.2,11.3,7.1,83.3,18.5
661,Texas,215,1030,24,145,252,609,Texas215,79901,1289.095255378531,21.4,13.1,23.3,19.6,4.4,12.8,5.5,65.5,18.3
662,Texas,231,142,4,4,9,125,Texas231,849843,16.70896859772923,5.9,12.3,29.9,25.3,6.4,12.1,8.1,81.8,20.2
663,Texas,245,332,5,3,62,262,Texas245,92073,360.5834500885167,7.7,9.0,33.7,22.5,8.6,12.4,6.1,83.3,18.5
664,Texas,251,120,3,6,8,103,Texas251,254679,47.11813694886504,5.3,9.1,37.6,23.1,5.3,15.0,4.5,85.6,19.5
665,Texas,257,116,1,10,14,91,Texas257,163274,71.04621678895599,7.0,7.0,36.6,21.9,8.1,12.8,6.6,85.9,19.4
666,Texas,291,75,3,6,10,56,Texas291,118350,63.371356147021544,9.6,14.4,40.5,19.6,7.0,6.9,2.2,76.1,9.1
667,Texas,303,428,2,21,77,328,Texas303,81704,523.8421619504553,6.1,8.4,24.6,24.5,5.5,19.5,11.4,85.5,30.9
668,Texas,309,460,4,74,64,318,Texas309,303137,151.7465700326915,6.7,10.3,29.1,22.8,9.2,13.5,8.3,82.9,21.8
669,Texas,329,271,6,12,22,231,Texas329,247934,109.30328232513492,7.2,9.1,27.4,21.3,8.5,19.4,7.1,83.7,26.5
670,Texas,339,281,5,12,45,219,Texas339,162565,172.85393534893734,4.7,8.3,23.6,22.1,7.9,21.2,12.2,87.0,33.4
671,Texas,347,71,0,5,12,54,Texas347,556203,12.765123525043913,6.2,14.6,24.8,23.2,5.4,17.3,8.4,79.2,25.8
672,Texas,355,608,23,39,88,458,Texas355,65806,923.9279093091815,6.9,10.1,28.0,25.1,7.9,14.4,7.7,83.1,22.1
673,Texas,361,50,4,3,6,37,Texas361,361350,13.83700013837,3.8,7.8,39.5,24.6,8.8,12.1,3.4,88.4,15.5
674,Texas,367,52,0,7,3,42,Texas367,84964,61.20239160114872,4.5,7.3,31.3,26.9,8.1,14.7,7.2,88.2,21.9
675,Texas,375,373,9,49,67,248,Texas375,129441,288.16217427244845,11.1,13.2,32.1,22.0,6.8,9.9,4.8,75.7,14.8
676,Texas,381,32,1,6,0,25,Texas381,120832,26.483050847457626,2.4,7.2,19.5,27.4,11.9,21.0,10.6,90.4,31.6
677,Texas,397,24,2,2,4,16,Texas397,132501,18.113070844748343,4.1,4.1,20.0,22.6,9.0,25.2,15.0,91.9,40.2
678,Texas,409,109,3,6,10,90,Texas409,93978,115.98459213858564,9.2,11.7,29.6,27.9,7.0,11.0,3.6,79.1,14.6
679,Texas,423,182,4,8,48,122,Texas423,67655,269.01189860320744,6.4,7.9,23.7,27.3,9.8,17.4,7.5,85.7,24.9
680,Texas,439,2469,82,224,570,1593,Texas439,225290,1095.9208131741311,6.9,7.7,24.7,22.5,7.4,20.4,10.3,85.3,30.7
681,Texas,441,114,3,8,18,85,Texas441,2016872,5.65231705333804,5.1,6.2,36.0,23.2,7.0,15.2,7.4,88.7,22.5
682,Texas,451,104,6,15,21,62,Texas451,136535,76.17094517889186,4.7,11.0,28.2,24.8,6.3,17.0,8.0,84.3,25.0
